rank_layer_load_rank,layer,route_count,layer_route_share,load_vs_balanced,hottest_expert,hottest_expert_rank_share,effective_local_experts,local_gini,top_8_local_route_share,local_experts_for_50pct,local_experts_for_80pct
54,3,324552,0.23899545208190964,0.9559818083276386,131,0.031927087184796275,61.70431874042221,0.14648943004510828,0.18592398136508173,26,46
55,73,324306,0.23881430119942504,0.9552572047977002,173,0.08612544942122563,48.315116399409725,0.3957259887266964,0.3291736816463463,16,36
56,27,323960,0.23855951174682472,0.9542380469872989,71,0.04341585380911223,53.12463221454891,0.3365428023521422,0.27784911717495986,19,37
57,63,321250,0.2365639064966892,0.9462556259867568,208,0.06464747081712062,45.610598862758614,0.4515779182879378,0.37254474708171204,13,32
58,42,316540,0.2330955298442397,0.9323821193769588,7,0.05444177671068427,50.27098119060707,0.37778213258987803,0.31032412965186074,17,36
59,68,315396,0.23225310460211607,0.9290124184084643,98,0.12017907646260574,42.50322666085837,0.47373440848964465,0.3841234511534706,13,31
60,36,315051,0.2319990515352169,0.9279962061408676,10,0.03678769469070087,52.90951237612763,0.3458534788811971,0.2635890697061746,17,37
61,75,313243,0.23066766618752504,0.9226706647501002,67,0.055544736833704186,50.810630095068404,0.37487883807459377,0.293979434496541,17,35
62,49,312572,0.23017355138204867,0.9206942055281947,191,0.05259588190880821,50.790599169130516,0.3733116889868575,0.3053344509425029,17,35
63,14,311151,0.22912714730070458,0.9165085892028183,90,0.03059607714582309,58.83562391695251,0.22593576952990668,0.21154680524889846,23,42
64,29,310236,0.2284533543841459,0.9138134175365836,210,0.04302208641163501,53.36469011024407,0.3319294625704303,0.26064995680707587,19,37
65,41,307529,0.2264599582911139,0.9058398331644556,25,0.04700694893814892,52.08979536090916,0.35398099650764636,0.26842996920615614,17,36
66,18,304262,0.22405418620543394,0.8962167448217357,251,0.04204599982909466,52.85871192532068,0.34382682523614516,0.2759299551044823,18,37
67,64,302872,0.2230306100808257,0.8921224403233028,193,0.0633369872421353,46.86102120774819,0.42704364384954707,0.3379513457830371,15,32
68,58,300614,0.22136785116761318,0.8854714046704527,158,0.06328381246382404,45.848824021114375,0.44491607177310444,0.3576945850825311,14,32
69,45,300050,0.2209525296321606,0.8838101185286424,202,0.07855690718213632,48.480147803528276,0.39412889518413596,0.3185502416263956,16,35
70,56,299180,0.22031187407215402,0.8812474962886161,46,0.0633264255632061,46.53729517659176,0.43888461795574574,0.33546025803863894,14,32
71,21,292423,0.2153361158894361,0.8613444635577444,95,0.08005526241095946,46.940547984393326,0.42891969638161154,0.35236284423591857,14,33
72,32,289741,0.213361129438933,0.853444517755732,207,0.04207896017477678,50.841921907806025,0.37109343991702937,0.263531912984355,18,34
73,20,287745,0.21189130357942362,0.8475652143176945,9,0.05275504352812386,46.48009810213331,0.44408205398877487,0.3285686979791135,14,31
74,61,286733,0.21114608124985274,0.8445843249994109,219,0.06980361520996886,46.23891336061921,0.43687360061450886,0.3759804417349939,14,33
75,48,272624,0.2007564153922285,0.803025661568914,62,0.06621574036034979,47.87433986577013,0.40881614879834505,0.3448412465520277,15,35
