role,kernel,grid,block,calls_per_step,time_us_per_step,rank_min_us,rank_max_us,mean_call_us,p50_call_us,p90_call_us,p99_call_us,launch_occupancy_pct
Elementwise and metadata,router_gemm_kernel_float_output,256x1x1,128x1x1,3.0,10.567791666666668,10.463666666666667,10.698666666666668,3.522597222222222,3.488,3.712,3.968,12
DSA full-context scan,deep_gemm::sched::smxx_paged_mqa_logits_metadata,1x1x1,32x1x1,4.0,9.709125,9.567833333333333,9.9145,2.42728125,2.464,2.528,2.624,0
Elementwise and metadata,triton_poi_fused_5,2x1x1,256x1x1,6.25,9.545124999999999,0.0,35.428666666666665,1.52722,1.504,1.664,1.792,0
Elementwise and metadata,triton_per_fused__to_copy_native_layer_norm_slice_4,2x1x1,64x1x1,6.25,9.206625,0.0,31.269166666666667,1.47306,1.472,1.6,1.76,0
Elementwise and metadata,at::native::vectorized_elementwise_kernel,6x1x1,128x1x1,9.0,8.850458333333334,8.762500000000001,8.922333333333333,0.9833842592592593,0.992,1.056,1.216,0
MTP FP8 block,tensorrt_llm::kernels::cutlass_kernels::expandInputRowsKernel,32x1x1,256x1x1,3.0,8.185041666666667,7.551666666666667,8.703666666666667,2.7283472222222223,2.687,3.2,3.328,3
Elementwise and metadata,at::native::unrolled_elementwise_kernel,12x1x1,128x1x1,3.0,7.858583333333333,7.552,8.191833333333333,2.619527777777778,2.592,2.912,3.296,1
Elementwise and metadata,at::native::reduce_kernel,3x19x1,256x2x1,1.0,7.791916666666666,7.616,7.9624999999999995,7.791916666666666,7.839,8.032,8.096,11
Elementwise and metadata,triton_red_fused_fused_add_rms_norm_2,1x1x1,128x1x1,0.5,7.745208333333332,0.0,15.509166666666665,15.490416666666667,15.455,15.648,15.839,0
Elementwise and metadata,triton_red_fused_5,8x1x1,512x1x1,4.5,7.645166666666667,0.0,30.58066666666667,1.698925925925926,1.664,1.856,1.92,2
Elementwise and metadata,at::native::reduce_kernel,1x1x1,512x1x1,3.0,7.573166666666666,7.295999999999999,7.776,2.524388888888889,2.496,2.688,2.944,0
Elementwise and metadata,triton_red_fused_6,8x1x1,512x1x1,4.5,7.553166666666667,0.0,30.212666666666667,1.6784814814814815,1.664,1.824,2.016,2
Elementwise and metadata,triton_poi_fused_add_copy_index_select_mul_slice_split_stack_sub_unsqueeze_view_8,64x1x1,64x1x1,5.25,7.311749999999999,0.0,25.27933333333333,1.3927142857142858,1.376,1.504,1.632,2
Elementwise and metadata,triton_per_fused__to_copy_native_layer_norm_slice_4,2x1x1,32x1x1,5.25,7.285083333333333,0.0,24.8845,1.3876349206349206,1.376,1.504,1.632,0
Elementwise and metadata,triton_poi_fused_5,4x1x1,256x1x1,5.0,7.142499999999999,0.0,28.569999999999997,1.4284999999999999,1.44,1.504,1.696,0
MTP FP8 block,tensorrt_llm::kernels::cutlass_kernels::doActivationKernel,32x1x1,256x1x1,3.0,7.131958333333333,6.96,7.327833333333333,2.3773194444444443,2.464,2.624,2.784,3
Elementwise and metadata,triton_poi_fused_5,8x1x1,64x1x1,5.0,6.542625,0.0,26.1705,1.308525,1.312,1.408,1.472,0
